Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
EASTCOVENTRY-PA.GOV,City,Non-Federal Agency,East Coventry Township,Pottstown,PA,(blank),DMARC1,none,none,100,r,r,0,none,mailto:dmarcadmins@mail.aperion.com,afrf,86400,
EASTFISHKILLNY.GOV,City,Non-Federal Agency,Town Of East Fishkill,Hopewell Junction,NY,(blank),null,,,,,,,,,,,
EASTFORDCT.GOV,City,Non-Federal Agency,Town of Eastford,Eastford,CT,wade.manuilow@savageweb.net,null,,,,,,,,,,,
EASTGRMI.GOV,City,Non-Federal Agency,City of East Grand Rapids,Grand Rapids,MI,webmaster@eastgr.org,DMARC1,reject,reject,100,r,r,0,none,mailto:webmaster@eastgr.org,afrf,86400,
EASTHADDAMCT.GOV,City,Non-Federal Agency,Town of East Haddam,Moodus,CT,admin@easthaddam.org,null,,,,,,,,,,,
EASTHAM-MA.GOV,City,Non-Federal Agency,Town of Eastham,Eastham,MA,mis@eastham-ma.gov,null,,,,,,,,,,,
EASTHAMPTONCT.GOV,City,Non-Federal Agency,Town of East Hampton,East Hampton,CT,(blank),null,,,,,,,,,,,
EASTHAMPTONMA.GOV,City,Non-Federal Agency,City of Easthampton,Easthampton,MA,kcamihort@easthamptonma.gov,DMARC1,none,none,5,r,r,0,mailto:iris@easthamptonma.gov,mailto:iris@easthamptonma.gov,afrf,86400,
EASTHAMPTONNY.GOV,City,Non-Federal Agency,The Trustees of the Town of East Hampton,Amagansett,NY,Trustees@ehamptonny.gov,null,,,,,,,,,,,
EASTHAMPTONVILLAGENY.GOV,City,Non-Federal Agency,Incorporated Village Of East Hampton,East Hampton,NY,security@easthamptonvillageny.gov,DMARC1,none,none,100,r,r,0,mailto:security@easthamptonvillageny.gov,mailto:security@easthamptonvillageny.gov,afrf,86400,
EASTHARTFORDCT.GOV,City,Non-Federal Agency,Town of East Hartford,East Hartford,CT,(blank),DMARC1,quarantine,reject,100,r,r,1,mailto:dmarc@easthartfordct.gov,mailto:dmarc@easthartfordct.gov,afrf,86400,
EASTHAVEN-CT.GOV,City,Non-Federal Agency,Town of East Haven,East Haven,CT,rfigueroa@easthaven-ct.gov,null,,,,,,,,,,,
EASTKINGSTONNH.GOV,City,Non-Federal Agency,Town of East Kingston NH,East Kingston,NH,mlepage@ekpdnh.com,null,,,,,,,,,,,
EASTLANDTEXAS.GOV,City,Non-Federal Agency,City of Eastland,Eastland,TX,chance@kennedycsi.com,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:dmarc@eastlandtexas.gov,afrf,86400,
EASTLONGMEADOWMA.GOV,City,Non-Federal Agency,Town of East Longmeadow,East Longmeadow,MA,it-staff@eastlongmeadowma.gov,DMARC1,none,none,100,r,r,0,none,mailto:dmarc@eastlongmeadowma.gov,afrf,86400,
EASTMOUNTAINTX.GOV,City,Non-Federal Agency,City of East Mountain,East Mountain,TX,marc.covington@eastmountaintx.gov,null,,,,,,,,,,,
EASTON-PA.GOV,City,Non-Federal Agency,City of Easton,Easton,PA,mfares@easton-pa.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:re+2c7e4b716d9e@inbound.dmarcdigests.com,afrf,86400,
EASTONCT.GOV,City,Non-Federal Agency,"""Town of Easton", Connecticut," USA""",Easton,null,,,,,,,,,,,
EASTONMD.GOV,City,Non-Federal Agency,Town of Easton,Easton,MD,(blank),null,,,,,,,,,,,
EASTORANGE-NJ.GOV,City,Non-Federal Agency,City Of East ORange,East ORange,NJ,carlos.valentin@eastorange-nj.gov,null,,,,,,,,,,,
EASTPALESTINE-OH.GOV,City,Non-Federal Agency,City of East Palestine,East Palestine,OH,kent@csctechnology.net,null,,,,,,,,,,,
EASTPOINTEMI.GOV,City,Non-Federal Agency,City of Eastpointe,Eastpointe,MI,(blank),null,,,,,,,,,,,
EASTPORT-ME.GOV,City,Non-Federal Agency,Town of Eastport,Eastport,ME,(blank),null,,,,,,,,,,,
EASTPROVIDENCERI.GOV,City,Non-Federal Agency,City of East Providence,East Providence,RI,security@cityofeastprov.com,null,,,,,,,,,,,
EASTRIDGETN.GOV,City,Non-Federal Agency,City of East Ridge,East Ridge,TN,(blank),null,,,,,,,,,,,
EASTSPENCER.GOV,City,Non-Federal Agency,Town of East Spencer,East Spencer,NC,giossi@membank.com,null,,,,,,,,,,,
EASTTROYWI.GOV,City,Non-Federal Agency,Village of East Troy,East Troy,WI,(blank),DMARC1,quarantine,quarantine,100,r,r,1,mailto:dcalton@digicorp-inc.com,mailto:dcalton@digicorp-inc.com,afrf,86400,
EASTVALECA.GOV,City,Non-Federal Agency,City of Eastvale,Eastvale,CA,info@eastvaleca.gov,null,,,,,,,,,,,
EASTWASHINGTONPA.GOV,City,Non-Federal Agency,East Washington Borough,East Washington,PA,secretary@eastwashingtonpa.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
EASTWENATCHEEWA.GOV,City,Non-Federal Agency,City of East Wenatchee,East Wenatchee,WA,securityadmin@eastwenatcheewa.gov,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc-rua@eastwenatcheewa.gov,afrf,86400,
EASTWINDSOR-CT.GOV,City,Non-Federal Agency,Town of East Windsor,Broad Brook,CT,jsauerhoefer@eastwindsorct.com,null,,,,,,,,,,,
EATONBROWNCOUNTYWI.GOV,City,Non-Federal Agency,Town of Eaton,Denmark,WI,dawn.konop1@gmail.com,null,,,,,,,,,,,
EATONVILLE-WA.GOV,City,Non-Federal Agency,Town of Eatonville,Eatonville,WA,(blank),null,,,,,,,,,,,
EAUCLAIREVILLAGE-MI.GOV,City,Non-Federal Agency,Village of Eau Claire,Eau Claire,MI,(blank),null,,,,,,,,,,,
EAUCLAIREWI.GOV,City,Non-Federal Agency,City of Eau Claire,Eau Claire,WI,cybersecurity@eauclairewi.gov,null,,,,,,,,,,,
ECLECTIC-AL.GOV,City,Non-Federal Agency,Town of Eclectic,ECLECTIC,AL,mayor@townofeclectic.com,null,,,,,,,,,,,
ECORSEMI.GOV,City,Non-Federal Agency,City of Ecorse,Ecorse,MI,dsapp@ecorsemi.gov,null,,,,,,,,,,,
ECRUMS.GOV,City,Non-Federal Agency,Town of Ecru,Ecru,MS,jc@onecallinc.com,null,,,,,,,,,,,
EDDINGTONMAINE.GOV,City,Non-Federal Agency,Town of Eddington,Eddington,ME,(blank),null,,,,,,,,,,,
EDENNC.GOV,City,Non-Federal Agency,City of Eden,Eden,NC,ktaylor@edennc.us,null,,,,,,,,,,,
EDENNY.GOV,City,Non-Federal Agency,Town Of Eden,Eden,NY,eden_it@edenny.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
EDGARWI.GOV,City,Non-Federal Agency,Village of Edgar,Edgar,WI,voejennifer.lopez@gmail.com,null,,,,,,,,,,,
EDGEWATERCO.GOV,City,Non-Federal Agency,City of Edgewater,Edgewater,CO,(blank),null,,,,,,,,,,,
EDGEWATERFL.GOV,City,Non-Federal Agency,City of Edgewater,Edgewater,FL,(blank),null,,,,,,,,,,,
EDGEWOOD-FL.GOV,City,Non-Federal Agency,"""City of Edgewood"," Florida""",Edgewood,FL,null,,,,,,,,,,,
EDGEWOOD-NM.GOV,City,Non-Federal Agency,Town of Edgewood,Edgewood,NM,(blank),null,,,,,,,,,,,
EDGEWOODKY.GOV,City,Non-Federal Agency,"""City of Edgewood"," Kentucky""",Edgewood,KY,null,,,,,,,,,,,
EDINAMN.GOV,City,Non-Federal Agency,City of Edina,Edina,MN,nlovejoy@edinamn.gov,DMARC1,quarantine,quarantine,100,r,r,0:1:d:s,mailto:abuse@edinamn.gov,none,afrf,86400,
EDISONNJ.GOV,City,Non-Federal Agency,EDISON TOWNSHIP,EDISON,NJ,itsupport@edisonnj.org,null,,,,,,,,,,,
EDMONDOK.GOV,City,Non-Federal Agency,City of Edmond,Edmond,OK,nst@edmondok.gov,DMARC1,quarantine,quarantine,100,r,r,1,mailto:c05930256381345@for.dmarcanalyzer.com,mailto:c05930256381345@rep.dmarcanalyzer.com,afrf,86400,
EDMONDS-WA.GOV,City,Non-Federal Agency,City of Edmonds,Edmonds,WA,brian.tuley@EDMONDSWA.GOV,null,,,,,,,,,,,
EDMONDSWA.GOV,City,Non-Federal Agency,City of Edmonds,Edmonds,WA,(blank),null,,,,,,,,,,,
EDMONSTONMD.GOV,City,Non-Federal Agency,Town of Edmonston,Edmonston,MD,(blank),null,,,,,,,,,,,
EGGERTSVILLEFIREDISTRICT.GOV,City,Non-Federal Agency,Eggertsville Fire District,Eggertsville,NY,helpdesk@greatlakesits.com,null,,,,,,,,,,,
EGREMONT-MA.GOV,City,Non-Federal Agency,Town of Egremont,Egremont,MA,(blank),null,,,,,,,,,,,
EHALERTCT.GOV,City,Non-Federal Agency,Town of East Hartford,East Hartford,CT,ksayers@easthartfordct.gov,null,,,,,,,,,,,
EHAMPTONNY.GOV,City,Non-Federal Agency,Town of East Hampton,East Hampton,NY,TechSupport@EHamptonNY.Gov,DMARC1,quarantine,quarantine,100,r,r,1,mailto:ruf@rep.easydmarc.com,"mailto:easy180058@easydmarc.com,mailto:admin@ehamptonny.gov",afrf,86400,
ELBAAL.GOV,City,Non-Federal Agency,"""City of Elba"," Alabama""",Elba,AL,null,,,,,,,,,,,
ELCAJON.GOV,City,Non-Federal Agency,City of El Cajon,El Cajon,CA,webmaster@cityofelcajon.us,null,,,,,,,,,,,
ELCENIZOTX.GOV,City,Non-Federal Agency,City of El Cenizo,El Cenizo,TX,tech@elcenizotx.gov,null,,,,,,,,,,,
ELDORADOIL.GOV,City,Non-Federal Agency,City of Eldorado,Eldorado,IL,security@eldoradoil.gov,null,,,,,,,,,,,
ELGINTEXAS.GOV,City,Non-Federal Agency,"""City of Elgin"," Texas""",Elgin,TX,DMARC1,quarantine,reject,100,r,r,0,none,none,afrf,86400,
ELIZABETHCITYNC.GOV,City,Non-Federal Agency,City of Elizabeth City,Elizabeth City,NC,directors@cityofec.com,null,,,,,,,,,,,
ELIZABETHTOWN-NY.GOV,City,Non-Federal Agency,Town of Elizabethtown,Elizabethtown,NY,etown@etownny.com,DMARC1,none,none,100,r,r,0,mailto:abuse@westelcom.com,mailto:abuse@westelcom.com,afrf,86400,
ELIZABETHTOWNKY.GOV,City,Non-Federal Agency,City of Elizabethtown,Elizabethtown,KY,admin@elizabethtownky.gov,null,,,,,,,,,,,
ELKGROVEIL.GOV,City,Non-Federal Agency,Village of Elk Grove,Elk Grove Village,IL,is@elkgrove.org,null,,,,,,,,,,,
ELKHARTLAKEWI.GOV,City,Non-Federal Agency,Village of Elkhart Lake,Elkhart Lake,WI,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:dmarc@elkhartlakewi.gov,afrf,86400,
ELKMONTAL.GOV,City,Non-Federal Agency,Town of Elkmont,Elkmont,AL,mike@athenscomputersvc.com,null,,,,,,,,,,,
ELKOCITYNV.GOV,City,Non-Federal Agency,City of Elko,Elko,NV,dslentz@elkocitynv.gov,null,,,,,,,,,,,
ELKRIVERMN.GOV,City,Non-Federal Agency,City of Elk River,Elk River,MN,it@elkrivermn.gov,DMARC1,quarantine,quarantine,100,r,r,0,mailto:dmarc@elkrivermn.gov,"mailto:8570943f@mxtoolbox.dmarc-report.com,",afrf,86400,
ELKTONVA.GOV,City,Non-Federal Agency,"""Town of Elkton"," VA""",Elkton,VA,null,,,,,,,,,,,
ELKTOWNSHIPNJ.GOV,City,Non-Federal Agency,Township of Elk,Monroeville,NJ,(blank),null,,,,,,,,,,,
ELLAGO-TX.GOV,City,Non-Federal Agency,City of El Lago,El Lago,TX,(blank),null,,,,,,,,,,,
ELLENDALEND.GOV,City,Non-Federal Agency,City of Ellendale,Ellendale,ND,angela@simplewolfmedia.com,null,,,,,,,,,,,
ELLENSBURGWA.GOV,City,Non-Federal Agency,City of Ellensburg,Ellensburg,WA,faubionb@ci.ellensburg.wa.us,null,,,,,,,,,,,
ELLIJAY-GA.GOV,City,Non-Federal Agency,City of Ellijay,Ellijay,GA,cityclerk@ellijay.com,null,,,,,,,,,,,
ELLINGTON-CT.GOV,City,Non-Federal Agency,Town of Ellington,Ellington,CT,(blank),DMARC1,none,none,100,r,r,0,none,mailto:dmarc-reports@ellingtonschools.net,afrf,86400,
ELLSWORTHMAINE.GOV,City,Non-Federal Agency,"""City of Ellsworth"," Maine""",Ellsworth,ME,null,,,,,,,,,,,
ELMERBOROUGHNJ.GOV,City,Non-Federal Agency,Borough of Elmer,Elmer,NJ,security@elmerboroughnj.gov,null,,,,,,,,,,,
ELMIRAGEAZ.GOV,City,Non-Federal Agency,City of El Mirage,El Mirage,AZ,(blank),DMARC1,none,none,100,r,r,1,mailto:d6e9f27bf8e6356@for.dmarcanalyzer.com,mailto:d6e9f27bf8e6356@rep.dmarcanalyzer.com,afrf,86400,
ELMONTECA.GOV,City,Non-Federal Agency,City of El Monte,El Monte,CA,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:postmaster@elmonteca.gov,afrf,86400,
ELMWOODMI.GOV,City,Non-Federal Agency,Charter Township of Elmwood,Traverse City,MI,planner@elmwoodtownship.net,null,,,,,,,,,,,
ELMWOODPLACE-OH.GOV,City,Non-Federal Agency,"""M-Tec Systems"," Inc""",Cincinnati,OH,null,,,,,,,,,,,
ELON.GOV,City,Non-Federal Agency,Town of Elon,Elon,NC,mike@comtechnc.com,null,,,,,,,,,,,
ELOYAZ.GOV,City,Non-Federal Agency,City of Eloy,Eloy,AZ,support@cybarworks.com,null,,,,,,,,,,,
ELPASOTEXAS.GOV,City,Non-Federal Agency,City of El Paso,El Paso,TX,IT-SecurityAssurance@elpasotexas.gov,DMARC1,reject,reject,100,r,r,0,mailto:dmarcforensics@elpasotexas.gov,mailto:1b195901@mxtoolbox.dmarc-report.com,afrf,86400,
ELRENOOK.GOV,City,Non-Federal Agency,City of El Reno,El Reno,OK,it@cityofelreno.com,DMARC1,none,none,100,r,r,0,none,mailto:it@elrenook.gov,afrf,86400,
EMERALDBAY-TX.GOV,City,Non-Federal Agency,Emerald Bay Municipal Utility District,Bullard,TX,mudbizmgr@emeraldbay-tx.gov,null,,,,,,,,,,,
EMMAUSPA.GOV,City,Non-Federal Agency,Borough of Emmaus,Emmaus,PA,spepe@borough.emmaus.pa.us,null,,,,,,,,,,,
EMMITSBURGMD.GOV,City,Non-Federal Agency,Emmitsburg Town Government,Emmitsburg,MD,ST@royernetworks.com,null,,,,,,,,,,,
EMPORIA-KANSAS.GOV,City,Non-Federal Agency,City Of Emporia,Emporia,KS,akenyon@emporiaks.gov,null,,,,,,,,,,,
EMPORIAKS.GOV,City,Non-Federal Agency,City of Emporia,Emporia,KS,akenyon@emporiaks.gov,null,,,,,,,,,,,
ENCINITASCA.GOV,City,Non-Federal Agency,City of Encinitas,Encinitas,CA,msalmon@encinitasca.gov,DMARC1,quarantine,quarantine,100,r,r,1,mailto:dmarc@encinitasca.gov,mailto:dmarc@encinitasca.gov,afrf,86400,
ENCINITASCALIFORNIA.GOV,City,Non-Federal Agency,City of Encinitas,Encinitas,CA,(blank),null,,,,,,,,,,,
ENFIELD-CT.GOV,City,Non-Federal Agency,Town of Enfield,Enfield,CT,(blank),null,,,,,,,,,,,
ENGAGEWARNERROBINSGA.GOV,City,Non-Federal Agency,City of Warner Robins,Warner Robins,GA,itaccounts@wrga.gov,null,,,,,,,,,,,
ENGLEWOODCO.GOV,City,Non-Federal Agency,City of Englewood,Englewood,CO,jking@englewoodco.gov,null,,,,,,,,,,,
ENNISTX.GOV,City,Non-Federal Agency,City of Ennis Texas,Ennis,TX,(blank),null,,,,,,,,,,,
ENON-OH.GOV,City,Non-Federal Agency,Village Of Enon,Enon,OH,(blank),null,,,,,,,,,,,
ENTERPRISEAL.GOV,City,Non-Federal Agency,City of Enterprise,Enterprise,AL,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
ENTERPRISEOREGON.GOV,City,Non-Federal Agency,City of Enterprise,Enterprise,OR,lmcquead@enterpriseoregon.org,null,,,,,,,,,,,
ERDA.GOV,City,Non-Federal Agency,The City of Erda,Erda,UT,jb4erda@gmail.com,null,,,,,,,,,,,
ERIECO.GOV,City,Non-Federal Agency,Town of Erie,Erie,CO,itadmin@erieco.gov,DMARC1,none,none,100,r,r,0,none,mailto:postmaster@erieco.gov,afrf,86400,
ERLANGERKY.GOV,City,Non-Federal Agency,City of Erlanger,Erlanger,KY,jim.white@cityoferlanger.com,null,,,,,,,,,,,
ERVING-MA.GOV,City,Non-Federal Agency,Town of Erving,Erving,MA,it@erving-ma.gov,null,,,,,,,,,,,
ERWINMI.GOV,City,Non-Federal Agency,Erwin Township,Ironwood,MI,(blank),null,,,,,,,,,,,
ESCANABATOWNSHIPMI.GOV,City,Non-Federal Agency,Escanaba Township,Gladstone,MI,kps@shumakergroup.com,null,,,,,,,,,,,
ESCONDIDO.GOV,City,Non-Federal Agency,City of Escondido,Escondido,CA,dotgovtech@escondido.org,DMARC1,none,none,100,r,r,1,none,mailto:dmarc_agg@vali.email,afrf,86400,
ESPANOLANM.GOV,City,Non-Federal Agency,City of Espanola,Espanola,NM,(blank),null,,,,,,,,,,,
ESSEXCT.GOV,City,Non-Federal Agency,Essex Town Hall,Essex,CT,tcelentano@essexct.gov,null,,,,,,,,,,,
ESTERO-FL.GOV,City,Non-Federal Agency,Village of Estero,Estero,FL,no-reply@estero-fl.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
EUGENE-OR.GOV,City,Non-Federal Agency,City of Eugene ISD,Eugene,OR,(blank),DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
EULESSTX.GOV,City,Non-Federal Agency,"""City of Euless"," TX""",Euless,TX,DMARC1,none,none,100,r,r,0,none,mailto:postmaster@eulesstx.gov,afrf,86400,
EUREKA-MT.GOV,City,Non-Federal Agency,Town of Eureka,Eureka,MT,(blank),null,,,,,,,,,,,
EUREKACA.GOV,City,Non-Federal Agency,City of Eureka,Eureka,CA,cybersecurity@ci.eureka.ca.gov,DMARC1,reject,reject,100,s,s,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
EUREKAILLINOIS.GOV,City,Non-Federal Agency,City of Eureka,Eureka,IL,linderic12@gmail.com,null,,,,,,,,,,,
EUREKASPRINGSAR.GOV,City,Non-Federal Agency,Eureka Springs Police Department,Eureka Springs,AR,(blank),null,,,,,,,,,,,
EUREKATOWNSHIPMI.GOV,City,Non-Federal Agency,Eureka Township,Greenville,MI,kps@shumakergroup.com,null,,,,,,,,,,,
EUTAWAL.GOV,City,Non-Federal Agency,City of Eutaw,Eutaw,AL,it@eutawal.gov,DMARC1,none,none,100,r,r,0:1:d:s,mailto:2j5o8o3r1j@ruf.powerdmarc.com,mailto:2j5o8o3r1j@rua.powerdmarc.com,afrf,86400,
EVANSCOLORADO.GOV,City,Non-Federal Agency,City of Evans Colorado,Evans,CO,IT@evanscolorado.gov,null,,,,,,,,,,,
EVANSPOLICENY.GOV,City,Non-Federal Agency,Town of Evans Police Department,Angola,NY,(blank),null,,,,,,,,,,,
EVANSTON-WY.GOV,City,Non-Federal Agency,CITY OF EVANSTON,EVANSTON,WY,(blank),null,,,,,,,,,,,
EVANSVILLE-WY.GOV,City,Non-Federal Agency,Town of Evansville,Evansville,WY,(blank),null,,,,,,,,,,,
EVELETHPD.GOV,City,Non-Federal Agency,City of Eveleth Police Department,Eveleth,MN,Support@securitybyroger.com,null,,,,,,,,,,,
EVERETTWA.GOV,City,Non-Federal Agency,City of Everett,Everett,WA,itnotices@everettwa.gov,DMARC1,none,none,100,r,r,s,mailto:ruf@everettwa.gov,mailto:rua@everettwa.gov,afrf,86400,
EVERGREENAL.GOV,City,Non-Federal Agency,City of Evergreen,Evergreen,AL,cjackson@evergreenal.gov,null,,,,,,,,,,,
EVERGREENLANGLADEWI.GOV,City,Non-Federal Agency,"""Town of Evergreen", Langlade County," WI  USA""",Elton,null,,,,,,,,,,,
EVESHAM-NJ.GOV,City,Non-Federal Agency,Evesham Township,Marlton,NJ,MISAlerts@evesham-nj.gov,null,,,,,,,,,,,
EXCELSIORSPRINGS.GOV,City,Non-Federal Agency,City of Excelsior Springs,Excelsior Springs,MO,security@enetkc.com,DMARC1,quarantine,quarantine,10,r,r,1,mailto:dmarc-reports@enet.support,mailto:dmarc-reports@enet.support,afrf,86400,
EXETERNH.GOV,City,Non-Federal Agency,"""Town of Exeter"," NH""",Exeter,NH,DMARC1,quarantine,quarantine,100,r,r,0,mailto:dmarc@exeternh.gov,mailto:dmarc@exeternh.gov,afrf,86400,
EXETERRI.GOV,City,Non-Federal Agency,Town of Exeter,Exeter,RI,(blank),null,,,,,,,,,,,
FAIRBORNOH.GOV,City,Non-Federal Agency,City of Fairborn,Fairborn,OH,its_group@ci.fairborn.oh.us,DMARC1,none,none,100,r,r,0,mailto:642f685b10913@fo.dmarcly.com,mailto:642f685b10913@ag.dmarcly.com,afrf,86400,
FAIRBORNOHIO.GOV,City,Non-Federal Agency,City of Fairborn,Fairborn,OH,its_group@ci.fairborn.oh.us,DMARC1,none,none,100,r,r,0,mailto:642f685b10913@fo.dmarcly.com,mailto:642f685b10913@ag.dmarcly.com,afrf,86400,
FAIRFAX-MN.GOV,City,Non-Federal Agency,City of Fairfax,Fairfax,MN,(blank),null,,,,,,,,,,,
FAIRFAX-VT.GOV,City,Non-Federal Agency,Town of Fairfax,Fairfax,VT,client-fairfaxtown@openapproach.com,null,,,,,,,,,,,
FAIRFAXSC.GOV,City,Non-Federal Agency,Town of Fairfax South Carolina,Fairfax,SC,admin@paknetit.com,null,,,,,,,,,,,
FAIRFAXVA.GOV,City,Non-Federal Agency,City of Fairfax,Fairfax,VA,(blank),DMARC1,none,none,100,r,r,1,mailto:postmaster@fairfaxva.gov,mailto:postmaster@fairfaxva.gov,afrf,86400,
FAIRFIELD-ME.GOV,City,Non-Federal Agency,Town of Fairfield,Fairfield,ME,(blank),null,,,,,,,,,,,
FAIRFIELDCT.GOV,City,Non-Federal Agency,Town of Fairfield Connecticut,Fairfield,CT,dkelley@fairfieldct.org,DMARC1,none,none,100,r,r,0,mailto:tofitalerts@fairfieldct.org,mailto:nprice@fairfieldct.org,afrf,86400,
FAIRFIELDIOWA.GOV,City,Non-Federal Agency,City of Fairfield,Fairfield,IA,(blank),null,,,,,,,,,,,
FAIRFIELDMT.GOV,City,Non-Federal Agency,Town of Fairfield,Fairfield,MT,jamesk@schoolhouseit.com,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
FAIRFIELDOH.GOV,City,Non-Federal Agency,City of Fairfield Ohio,Fairfield,OH,(blank),null,,,,,,,,,,,
FAIRFIELDTEXAS.GOV,City,Non-Federal Agency,"""City of Fairfield"," TX""",Fairfield,TX,null,,,,,,,,,,,
FAIRFIELDTWPLENAWEEMI.GOV,City,Non-Federal Agency,Fairfield Township,Jasper,MI,fairfieldtownshipclerk.mi@gmail.com,null,,,,,,,,,,,
FAIRHAVEN-MA.GOV,City,Non-Federal Agency,Town of Fairhaven,Fairhaven,MA,techsupport@fairhavenps.net,null,,,,,,,,,,,
FAIRHAVENVT.GOV,City,Non-Federal Agency,Town of Fair Haven,Fair Haven,VT,fhmanager@comcast.net,null,,,,,,,,,,,
FAIRHOPE-AL.GOV,City,Non-Federal Agency,City of Fairhope,Fairhope,AL,(blank),null,,,,,,,,,,,
FAIRHOPEAL.GOV,City,Non-Federal Agency,City of Fairhope,Fairhope,AL,(blank),null,,,,,,,,,,,
FAIRHOPEALPOLICE.GOV,City,Non-Federal Agency,City of Fairhope Police Department,Fairhope,AL,(blank),null,,,,,,,,,,,
FAIRLEEVT.GOV,City,Non-Federal Agency,Town of Fairlee,Fairlee,VT,townadministrator@fairleevt.org,null,,,,,,,,,,,
FAIRMONTNC.GOV,City,Non-Federal Agency,"""Town of Fairmont"," NC""",Fairmont,NC,DMARC1,quarantine,none,100,r,r,0,none,none,afrf,86400,
FAIRMONTWV.GOV,City,Non-Federal Agency,City of Fairmont,Fairmont,WV,rob@itwv.com,DMARC1,none,none,100,r,r,0:1:d:s,mailto:dmarc@fairmontwv.gov,mailto:dmarc@fairmontwv.gov,afrf,86400,
FAIRMOUNTGA.GOV,City,Non-Federal Agency,City of Fairmount GA,Fairmount,GA,(blank),null,,,,,,,,,,,
FAIRMOUNTHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Fairmount Heights,Fairmount Heights,MD,(blank),null,,,,,,,,,,,
FAIRVIEWHEIGHTSIL.GOV,City,Non-Federal Agency,"""City of Fairview Heights"," IL""",Fairview Heights,IL,null,,,,,,,,,,,
FAIRVIEWNC.GOV,City,Non-Federal Agency,Fairview Town Council,Monroe,NC,(blank),null,,,,,,,,,,,
FAIRVIEWOREGON.GOV,City,Non-Federal Agency,City of Fairview,Fairview,OR,(blank),null,,,,,,,,,,,
FAIRVIEWTN.GOV,City,Non-Federal Agency,City of Fairview,Fairview,TN,security@fairview-tn.org,null,,,,,,,,,,,
FALCONERNY.GOV,City,Non-Federal Agency,Village of Falconer,Falconer,NY,jjaroszynski@villageoffalconer.com,null,,,,,,,,,,,
FALLCREEKWI.GOV,City,Non-Federal Agency,Village of Fall Creek,Fall Creek,WI,kevin.meinholz@fallcreekwi.gov,null,,,,,,,,,,,
FALLONNEVADA.GOV,City,Non-Federal Agency,City of Fallon,Fallon,NV,austin@theabbiagency.com,null,,,,,,,,,,,
FALLRIVERMA.GOV,City,Non-Federal Agency,City of Fall River,Fall River,MA,mis@fallriverma.org,null,,,,,,,,,,,
FALLSCHURCHCITYVA.GOV,City,Non-Federal Agency,City of Falls Church,Falls Church,VA,cfcsupport@fallschurchva.gov,null,,,,,,,,,,,
FALLSCHURCHVA.GOV,City,Non-Federal Agency,City of Falls Church,Falls Church,VA,cfcsupport@fallschurchva.gov,DMARC1,none,reject,100,r,r,0,mailto:cfcsupport@fallschurchva.gov,mailto:cfcsupport@fallschurchva.gov,afrf,84600,
FALLSCITYOREGON.GOV,City,Non-Federal Agency,City of Falls City,Falls City,OR,NOC@SquareW.net,null,,,,,,,,,,,
FALLSPA.GOV,City,Non-Federal Agency,Falls Township,Falls,PA,security@moodusmedia.com,null,,,,,,,,,,,
FALMOUTHFIREMA.GOV,City,Non-Federal Agency,Town of Falmouth,Falmouth,MA,webmaster@falmouthma.gov,DMARC1,none,none,100,r,r,1,mailto:ruf+falmouthfirema.gov@dmarc.barracudanetworks.com,mailto:rua+falmouthfirema.gov@dmarc.barracudanetworks.com,afrf,86400,
FALMOUTHMA.GOV,City,Non-Federal Agency,Town of Falmouth,Falmouth,MA,webmaster@falmouthma.gov,DMARC1,none,none,100,r,r,1,"mailto:fit.reports@falmouthma.gov,mailto:ruf+falmouthma.gov@dmarc.barracudanetworks.com","mailto:dmarc_agg@vali.email,mailto:re+qylpgapm1km@dmarc.postmarkapp.com,mailto:rua+falmouthma.gov@dmarc.barracudanetworks.com",afrf,86400,
FALMOUTHPOLICEMA.GOV,City,Non-Federal Agency,Town of Falmouth,Falmouth,MA,webmaster@falmouthma.gov,DMARC1,none,none,100,r,r,1,mailto:ruf+falmouthpolicema.gov@dmarc.barracudanetworks.com,mailto:rua+falmouthpolicema.gov@dmarc.barracudanetworks.com,afrf,86400,
FALMOUTHPUBLICSAFETYMA.GOV,City,Non-Federal Agency,Falmouth Emergency Communications,Falmouth,MA,psadministrator@falmouthma.gov,DMARC1,none,none,100,r,r,1,mailto:ruf+falmouthpublicsafetyma.gov@dmarc.barracudanetworks.com,mailto:rua+falmouthpublicsafetyma.gov@dmarc.barracudanetworks.com,afrf,86400,
